ra,dec
250.623218,39.913498
250.506690,39.644055
250.671412,39.846222
250.816109,40.003518
250.503521,39.865571
250.526458,39.602340
250.570197,39.826148
250.648089,39.716029
250.479370,39.906194
250.531890,39.746636
251.012266,39.672319
250.650953,39.718212
250.622060,39.910870
250.752334,39.662549
250.750903,39.661678
250.665472,39.714652
250.707206,39.902232
250.999046,39.897430
250.830620,39.756711
250.818287,39.714224
250.730529,39.599917
250.868650,39.608035
250.459335,39.898775
250.937192,39.772798
250.939179,40.027638
250.980373,39.888776
250.839242,39.830579
250.658489,39.690991
250.927840,40.010597
250.892643,39.891048
250.937422,39.596244
250.723748,39.896464
250.924298,39.709271
250.902287,39.642942
250.776389,39.827591
250.968191,39.953771
250.724256,39.846018
250.519745,39.777150
250.567998,39.844577
251.020364,39.708454
250.809664,39.950693
250.824436,39.835917
250.746506,39.605113
250.581921,39.829405
250.869640,39.876040
250.560010,39.909736
250.976880,39.909853
250.476443,39.799393
250.750417,39.829679
250.997073,39.742601
251.015995,39.853675
250.943995,39.627129
250.487353,39.735112
250.825015,39.905000
250.732537,39.845546
250.886445,39.962361
250.887826,39.649821
250.578789,39.593430
250.482627,39.687092
250.846269,39.620434
250.976246,39.796028
250.540537,39.700558
250.517568,40.023446
250.799368,39.594567
250.904213,39.785490
251.020253,39.851234
250.832048,39.790479
250.886720,39.714966
250.496350,39.699345
250.505572,39.802622
250.872676,39.801235
250.717668,39.675854
250.828996,39.868573
250.599504,39.917081
250.649327,39.781820
250.760922,39.859680
250.778901,39.856968
250.922205,39.845043
250.715859,39.997382
250.599111,40.008317
250.526287,39.771871
250.527712,39.771648
250.963315,39.897655
250.492314,39.767122
250.782726,39.613945
250.500106,39.791230
250.466737,39.979250
250.770034,39.705019
250.908246,39.610888
250.951385,39.905184
250.894830,39.941260
250.692337,39.945934
250.652340,39.954852
250.780022,39.743355
250.673371,39.701026
250.759346,39.647605
250.742218,39.602500
250.611599,39.825150
250.720527,39.802170
250.535431,39.980637
250.856721,39.772588
250.930732,40.013432
250.877084,40.002547
250.944940,39.748846
250.842590,39.821350
251.005425,39.879624
250.733917,39.919670
250.686074,39.950783
250.790937,39.970301
250.746418,39.592832
250.889620,39.934710
250.475995,40.009278
250.891056,40.027035
250.574711,39.934917
250.563391,39.961266
250.753399,39.730095
250.906207,39.934398
250.741123,39.967451
250.719466,39.647116
250.533410,39.631491
250.514510,39.973449
250.805096,39.704857
251.019244,39.965069
250.971903,39.817330
250.772667,39.601489
250.626505,39.991345
250.799063,39.627685
250.840065,39.926198
250.759264,39.790382
250.644227,39.788198
250.656515,39.694507
250.981561,39.598386
250.488867,39.923940
250.847339,39.743686
250.497031,39.809220
250.936319,39.942339
250.929077,39.760125
250.562873,39.785595
250.730666,39.619436
250.611316,39.933932
250.823322,39.771003
250.738310,39.974262
250.638051,39.856865
250.456755,39.802062
250.929722,39.738847
250.760779,39.917143
250.454674,39.774213
250.517045,39.743601
250.618790,39.728627
250.562629,39.607072
250.787862,39.651863
250.899004,39.747796
250.522503,39.896671
250.979511,39.754117
250.788134,39.977771
250.606283,39.956098
250.788828,39.920525
250.623277,39.662379
250.650120,39.673255
250.674835,39.937665
250.656635,40.003525
250.907982,39.672518
250.625598,39.982575
251.010891,39.831337
250.463129,39.740642
250.776010,39.666392
250.957835,39.975986
250.563024,39.943722
250.677074,39.929762
