|Unnamed: 0|Star|RAh|RAm|RAs|DEd|DEm|DEs|V|B-V|U-B|V-R|R-I|V-I|n|m|e_V|e_B-V|e_U-B|e_V-R|e_R-I|e_V-I|RA_deg|DEC_deg|RA_hhmmss|DEC_ddmmss|R|dxy_deg
180|455|110 360|18.0|42.0|40.477|0.0|9.0|10.71|14.618|1.197|0.539|0.715|0.7170000000000001|1.432|5|2|0.0094|0.0192|0.0291|0.0085|0.0031|0.008|280.6686541666666|0.152975|18 42 40.477|0 9 10.71|13.902999999999999|49.680244990283704
181|358|106 575|14.0|41.0|38.499|0.0|26.0|1.82|9.341|1.306|1.485|0.6759999999999999|0.5870000000000001|1.268|39|30|0.0007|0.0007|0.0027|0.0005|0.0005|0.0006|220.4104125|0.4338388888888889|14 41 38.499|0 26 1.82|8.665000000000001|49.70604730176757
182|456|110 361|18.0|42.0|45.01|0.0|8.0|4.7|12.425|0.632|0.035|0.361|0.348|0.7090000000000001|30|17|0.0022|0.0022|0.0029|0.0018|0.002|0.0029|280.6875416666667|0.1346388888888889|18 42 45.01|0 8 4.7|12.064|49.706258385655886
183|461|110 157|18.0|42.0|56.472|0.0|8.0|58.45|13.491|2.123|1.679|1.257|1.139|2.395|7|3|0.0057|0.0257|0.175|0.0034|0.0049|0.0057|280.73529999999994|0.14956944444444445|18 42 56.472|0 8 58.45|12.234000000000002|49.723132238342906
184|460|110 364|18.0|42.0|52.785|0.0|7.0|54.89|13.615|1.133|1.095|0.6970000000000001|0.585|1.281|15|7|0.0021|0.0067|0.0088|0.0015|0.0026|0.0021|280.7199375|0.13191388888888889|18 42 52.785|0 7 54.89|12.918|49.72795430166007
185|459|110 L1|18.0|42.0|50.187|0.0|7.0|12.76|16.252|1.7519999999999998|2.9530000000000003|1.0659999999999998|0.992|2.0580000000000003|1|1|||||||280.70911249999995|0.12021111111111113|18 42 50.187|0 7 12.76|15.186|49.73076944827117
186|457|110 362|18.0|42.0|48.277|0.0|6.0|27.77|15.693|1.3330000000000002|3.919|0.918|0.885|1.8030000000000002|1|1|||||||280.7011541666666|0.1077138888888889|18 42 48.277|0 6 27.77|14.775|49.7359502956202
187|462|110 365|18.0|42.0|57.444|0.0|7.0|23.12|13.47|2.261|1.895|1.36|1.27|2.6310000000000002|45|20|0.0027|0.0091|0.0313|0.0021|0.0022|0.0034|280.73934999999994|0.12308888888888887|18 42 57.443999999999996|0 7 23.12|12.11|49.746698320841816
188|458|110 266|18.0|42.0|48.798|0.0|5.0|6.44|12.018|0.889|0.411|0.5379999999999999|0.5770000000000001|1.111|8|3|0.0014|0.0028|0.0039|0.0014|0.0021|0.0032|280.70332499999995|0.08512222222222222|18 42 48.798|0 5 6.44|11.48|49.755293393956705
189|464|110 273|18.0|42.0|59.542|0.0|2.0|23.92|14.686|2.527|1.0|1.509|1.345|2.8560000000000003|5|2|0.0161|0.0783|1.3416|0.004|0.0103|0.0107|280.7480916666666|0.03997777777777778|18 42 59.542|0 2 23.92|13.177|49.818292540475554
190|466|110 280|18.0|43.0|6.96|0.0|3.0|41.52|12.996|2.151|2.133|1.235|1.148|2.384|25|12|0.0034|0.0144|0.0906|0.0018|0.003|0.0036|280.77899999999994|0.061533333333333336|18 43 6.96|0 3 41.52|11.761|49.81971337643115
191|357|106 700|14.0|40.0|50.944|0.0|23.0|36.82|9.786|1.364|1.58|0.73|0.643|1.374|88|77|0.0008|0.0006|0.0014|0.0005|0.0006|0.0008|220.21226666666664|0.3935611111111112|14 40 50.943999999999996|0 23 36.82|9.056000000000001|49.85905492069341
192|473|110 290|18.0|43.0|22.132|0.0|1.0|15.4|11.898|0.708|0.196|0.418|0.418|0.836|3|2|0.0029|0.0006|0.0046|0.0023|0.0029|0.0035|280.8422166666666|0.020944444444444446|18 43 22.131999999999998|0 1 15.4|11.48|49.89021445325114
193|480|110 319|18.0|43.0|55.37600000000001|0.0|2.0|0.32|11.861|1.3090000000000002|1.0759999999999998|0.742|0.7|1.443|3|2|0.011|0.0029|0.0035|0.004|0.0017|0.0058|280.98073333333326|0.03342222222222222|18 43 55.376000000000005|0 2 0.32|11.119000000000002|49.96396509577653
194|475|110 311|18.0|43.0|47.512|0.0|0.0|20.63|15.505|1.796|1.179|1.01|0.8640000000000001|1.874|4|2|0.018|0.036|0.1255|0.034|0.083|0.113|280.94796666666656|0.0057305555555555564|18 43 47.512|0 0 20.63|14.495|49.96620032615942
195|479|110 316|18.0|43.0|52.342|0.0|1.0|4.22|14.821|1.731|4.355|0.858|0.91|1.7690000000000001|1|1|||||||280.9680916666666|0.01783888888888889|18 43 52.342|0 1 4.22|13.963|49.968724844823626
196|478|110 315|18.0|43.0|52.07899999999999|0.0|0.0|49.33|13.637|2.069|2.256|1.206|1.133|2.338|8|4|0.0067|0.0361|0.4639|0.0032|0.0057|0.0067|280.96699583333327|0.013702777777777777|18 43 52.07899999999999|0 0 49.33|12.431|49.971355933981236
197|476|110 312|18.0|43.0|48.928|0.0|0.0|6.03|16.093|1.319|-0.7879999999999999|1.137|1.1540000000000001|2.293|1|1|||||||280.9538666666666|0.001675|18 43 48.928000000000004|0 0 6.03|14.956|49.972997512690206
198|356|106 1024|14.0|40.0|6.997000000000001|0.0|1.0|45.11|11.599|0.332|0.085|0.196|0.195|0.39|35|27|0.0051|0.0022|0.0029|0.0019|0.0014|0.0029|220.02915416666661|0.029197222222222218|14 40 6.997000000000001|0 1 45.11|11.402999999999999|50.259303172892295
199|365|PG1525-071C|15.0|28.0|16.502|-7.0|14.0|30.36|13.519|1.116|1.073|0.593|0.509|1.0959999999999999|16|9|0.0007|0.0028|0.0052|0.001|0.0015|0.0012|232.0687583333333|-7.241766666666668|15 28 16.502|-7 14 30.36|12.925999999999998|50.623086523776
200|363|PG1525-071A|15.0|28.0|13.416|-7.0|16.0|1.03|13.505999999999998|0.773|0.282|0.4370000000000001|0.42100000000000004|0.862|15|8|0.0008|0.0015|0.0019|0.0006|0.0024|0.0026|232.0559|-7.266952777777778|15 28 13.415999999999999|-7 16 1.03|13.069|50.651239822840786
201|364|PG1525-071B|15.0|28.0|14.39|-7.0|16.0|13.2|16.392|0.7290000000000001|0.141|0.45|0.387|0.9059999999999999|17|8|0.0039|0.0043|0.0097|0.0037|0.0066|0.0066|232.05995833333333|-7.270333333333332|15 28 14.39|-7 16 13.2|15.942|50.65288466297598
202|361|PG1525-071|15.0|28.0|11.57|-7.0|16.0|32.7|15.046|-0.211|-1.177|-0.068|0.012|-0.151|20|13|0.0027|0.0005|0.0027|0.002|0.002|0.0071|232.04820833333332|-7.27575|15 28 11.57|-7 16 32.7|15.114|50.66225449500245
203|362|PG1525-071D|15.0|28.0|12.0|-7.0|16.0|39.1|16.3|0.393|0.224|0.405|0.34299999999999997|0.7559999999999999|15|8|0.0021|0.0714|0.0316|0.0108|0.0196|0.0085|232.05|-7.277527777777778|15 28 12.0|-7 16 39.1|15.895|50.66324562281622
204|817|PG1314+442|||||||15.243|-0.135|-0.993|0.021|+0.034|+0.053|5|3|0.0027|0.0107|0.0045|0.0018|0.0040|0.0040|199.13795416666665|43.98485|13 16 33.109|+43 59 05.46|15.222000000000001|51.7756142685175
205|816|PG1314+442A|||||||15.383|0.7070000000000001|0.162|0.41|+0.409|+0.818|5|3|0.0040|0.0058|0.0192|0.0067|0.0076|0.0094|199.133225|43.970761111111116|13 16 31.974|+43 58 14.74|14.973|51.779194086211525
