|IAU_Name|ObjectName|RA_hhmmss|DEC_ddmmss|Redshift|RefStarRegFile|RefStarID|Rmag|Rmag_err|NoteIdx|Note
102|2155-304|PKS2155-304|21 58 52.0|-30 13 32|0.11599999999999999|RefStars_PKS2155-304_fk5.reg|2|11.67|0.01|1|recommend
103|2155-304|PKS2155-304|21 58 52.0|-30 13 32|0.11599999999999999|RefStars_PKS2155-304_fk5.reg|3|12.47|0.01|1|recommend
104|2155-304|PKS2155-304|21 58 52.0|-30 13 32|0.11599999999999999|RefStars_PKS2155-304_fk5.reg|4|13.92|0.01|1|recommend
105|2155-304|PKS2155-304|21 58 52.0|-30 13 32|0.11599999999999999|RefStars_PKS2155-304_fk5.reg|5|15.01|0.03|2|notRecommend
106|2200+420|BLLac|22 02 43.3|+42 16 40|0.0686|RefStars_BLLac_fk5.reg|B|11.99|0.04|1|recommend
107|2200+420|BLLac|22 02 43.3|+42 16 40|0.0686|RefStars_BLLac_fk5.reg|C|13.79|0.05|1|recommend
108|2200+420|BLLac|22 02 43.3|+42 16 40|0.0686|RefStars_BLLac_fk5.reg|H|13.73|0.06|1|recommend
109|2200+420|BLLac|22 02 43.3|+42 16 40|0.0686|RefStars_BLLac_fk5.reg|K|15.0|0.07|2|notRecommend
110|2230+114|CTA102|22 32 36.4|+11 43 51|1.037|RefStars_CTA102_fk5.reg|1|13.56|0.04|1|recommend
111|2230+114|CTA102|22 32 36.4|+11 43 51|1.037|RefStars_CTA102_fk5.reg|2|14.07|0.07|1|recommend
112|2251+158|3C454.3|22 53 57.7|+16 08 54|0.8590000000000001|RefStars_3C454.3_fk5.reg|1|13.15|0.02|1|recommend
113|2251+158|3C454.3|22 53 57.7|+16 08 54|0.8590000000000001|RefStars_3C454.3_fk5.reg|2|13.19|0.02|1|recommend
114|2251+158|3C454.3|22 53 57.7|+16 08 54|0.8590000000000001|RefStars_3C454.3_fk5.reg|3|14.0|0.02|1|recommend
115|2251+158|3C454.3|22 53 57.7|+16 08 54|0.8590000000000001|RefStars_3C454.3_fk5.reg|4|14.79|0.02|1|recommend
116|2251+158|3C454.3|22 53 57.7|+16 08 54|0.8590000000000001|RefStars_3C454.3_fk5.reg|5|14.83|0.02|2|notRecommend
117|2251+158|3C454.3|22 53 57.7|+16 08 54|0.8590000000000001|RefStars_3C454.3_fk5.reg|6|14.83|0.03|2|notRecommend
118|2251+158|3C454.3|22 53 57.7|+16 08 54|0.8590000000000001|RefStars_3C454.3_fk5.reg|7|14.94|0.02|2|notRecommend
119|2251+158|3C454.3|22 53 57.7|+16 08 54|0.8590000000000001|RefStars_3C454.3_fk5.reg|8|15.34|0.02|2|notRecommend
120|2344+514|1ES2344+514|23 47 04.8|+51 42 18|0.044000000000000004|RefStars_1ES2344+514_fk5.reg|C1|12.24|0.04|1|recommend
121|2344+514|1ES2344+514|23 47 04.8|+51 42 18|0.044000000000000004|RefStars_1ES2344+514_fk5.reg|C2|14.2|0.05|1|recommend
122|2344+514|1ES2344+514|23 47 04.8|+51 42 18|0.044000000000000004|RefStars_1ES2344+514_fk5.reg|C3|15.4|0.08|1|recommend
