YYYYMMDD	Filter	Target
20140824	R	AO0235+16
20140824	R	CTA102
20140824	R	DA406
20140824	R	Mkn501
20140824	R	PKS2155-304
20140825	R	3C345
20140825	R	3C371
20140825	R	3C454-3
20140825	R	3C66A
20140825	R	4C38-41
20140825	R	4C51-37
20140825	R	AO0235+16
20140825	R	CTA102
20140825	R	DA406
20140825	R	Mkn501
20140825	R	PKS0420-01
20140825	R	PKS0528+134
20140825	R	PKS2155-304
20140826	R	3C345
20140826	R	3C371
20140826	R	3C454-3
20140826	R	4C38-41
20140826	R	4C51-37
20140826	R	CTA102
20140826	R	DA406
20140826	R	Mkn501
20140826	R	PKS2155-304
20140827	R	3C345
20140827	R	3C371
20140827	R	3C454-3
20140827	R	4C38-41
20140827	R	4C51-37
20140827	R	CTA102
20140827	R	DA406
20140827	R	Mkn501
20140827	R	PKS2155-304
20140828	R	3C345
20140828	R	3C371
20140828	R	3C454-3
20140828	R	3C66A
20140828	R	4C38-41
20140828	R	4C51-37
20140828	R	AO0235+16
20140828	R	CTA102
20140828	R	DA406
20140828	R	Mkn501
20140828	R	PKS2155-304
20140831	R	3C345
20140831	R	3C371
20140831	R	3C454-3
20140831	R	3C66A
20140831	R	4C38-41
20140831	R	4C51-37
20140831	R	AO0235+16
20140831	R	CTA102
20140831	R	DA406
20140831	R	Mkn501
20140831	R	PKS0420-01
20140831	R	PKS0528+134
20140831	R	PKS2155-304
20140901	R	3C371
20140901	R	3C454-3
20140901	R	3C66A
20140901	R	AO0235+16
20140901	R	CTA102
20140901	R	PKS0420-01
20140901	R	PKS0528+134
20140901	R	PKS2155-304
20140901	R	S5_0716+71
20140902	R	3C371
20140902	R	3C454-3
20140902	R	3C66A
20140902	R	4C51-37
20140902	R	AO0235+16
20140902	R	CTA102
20140902	R	PKS0420-01
20140902	R	PKS2155-304
20140903	R	3C454-3
20140903	R	3C66A
20140903	R	AO0235+16
20140903	R	CTA102
20140903	R	PKS0420-01
20140903	R	PKS0528+134
20140903	R	PKS2155-304
20140903	R	S5_0716+71
20140904	R	3C345
20140904	R	3C371
20140904	R	3C454-3
20140904	R	3C66A
20140904	R	4C38-41
20140904	R	4C51-37
20140904	R	AO0235+16
20140904	R	CTA102
20140904	R	DA406
20140904	R	Mkn501
20140904	R	PKS2155-304
20140905	R	3C345
20140905	R	3C371
20140905	R	3C454-3
20140905	R	3C66A
20140905	R	4C38-41
20140905	R	4C51-37
20140905	R	CTA102
20140905	R	DA406
20140905	R	Mkn501
20140905	R	PKS2155-304
20140907	R	3C345
20140907	R	3C371
20140907	R	3C454-3
20140907	R	3C66A
20140907	R	4C38-41
20140907	R	4C51-37
20140907	R	CTA102
20140907	R	DA406
20140907	R	Mkn501
20140907	R	PKS2155-304
20140908	R	3C345
20140908	R	3C371
20140908	R	3C454-3
20140908	R	3C66A
20140908	R	4C38-41
20140908	R	4C51-37
20140908	R	AO0235+16
20140908	R	CTA102
20140908	R	DA406
20140908	R	Mkn501
20140908	R	PKS2155-304
20140909	R	3C371
20140909	R	3C454-3
20140909	R	3C66A
20140909	R	4C51-37
20140909	R	AO0235+16
20140909	R	CTA102
20140909	R	PKS2155-304
20140910	R	3C454-3
20140910	R	3C66A
20140910	R	AO0235+16
20140910	R	CTA102
20140910	R	PKS0420-01
20140910	R	PKS0528+134
20140910	R	PKS0735+17
20140910	R	S5_0716+71
20140911	R	3C454-3
20140911	R	3C66A
20140911	R	AO0235+16
20140911	R	CTA102
20140911	R	PKS2155-304
